,소속회사명,소속회사명,동일인과의 관계,동일인과의 관계,동일인과의 관계,성명,보통주,보통주,우선주,우선주,합계,합계
,소속회사명,소속회사명.1,동일인과의 관계,동일인과의 관계.1,동일인과의 관계.2,성명,주식수,지분율,주식수,지분율,주식수,지분율
160,비금융회사,에이치디씨리조트(주),동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
161,비금융회사,에이치디씨리조트(주),동일인측,친족,친족 합계,/,-,-,-,-,-,-
162,비금융회사,에이치디씨리조트(주),동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
163,비금융회사,에이치디씨리조트(주),동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
164,비금융회사,에이치디씨리조트(주),동일인측,자기주식,자기주식,에이치디씨리조트(주),3,0.00%,-,-,3,0.00%
165,비금융회사,에이치디씨리조트(주),동일인측,계열회사(국내+해외),계열회사(국내+해외),에이치디씨현대산업개발(주),11600000,49.95%,-,-,11600000,49.95%
166,비금융회사,에이치디씨리조트(주),동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,-,-
167,비금융회사,에이치디씨리조트(주),동일인측,동일인측 합계,동일인측 합계,/,11600003,49.95%,-,-,11600003,49.95%
168,비금융회사,에이치디씨리조트(주),기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,-,-
169,비금융회사,에이치디씨리조트(주),기타주주,기타,기타,/,11624133,50.05%,-,-,11624133,50.05%
170,비금융회사,에이치디씨리조트(주),총 계,총 계,총 계,/,23224136,100%,-,-,23224136,100%
171,비금융회사,에이치디씨스포츠(주),동일인측,동일인,동일인,-,-,,-,-,-,-
172,비금융회사,에이치디씨스포츠(주),동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
173,비금융회사,에이치디씨스포츠(주),동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
174,비금융회사,에이치디씨스포츠(주),동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
175,비금융회사,에이치디씨스포츠(주),동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
176,비금융회사,에이치디씨스포츠(주),동일인측,친족,친족 합계,/,-,-,-,-,-,-
177,비금융회사,에이치디씨스포츠(주),동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
178,비금융회사,에이치디씨스포츠(주),동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
179,비금융회사,에이치디씨스포츠(주),동일인측,자기주식,자기주식,-,-,-,-,-,-,-
180,비금융회사,에이치디씨스포츠(주),동일인측,계열회사(국내+해외),계열회사(국내+해외),에이치디씨(주),300000,100.00%,-,-,300000,100.00%
181,비금융회사,에이치디씨스포츠(주),동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,-,-
182,비금융회사,에이치디씨스포츠(주),동일인측,동일인측 합계,동일인측 합계,/,300000,100.00%,-,-,300000,100.00%
183,비금융회사,에이치디씨스포츠(주),기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,-,-
184,비금융회사,에이치디씨스포츠(주),기타주주,기타,기타,/,-,-,-,-,-,-
185,비금융회사,에이치디씨스포츠(주),총 계,총 계,총 계,/,300000,100%,-,-,300000,100%
186,비금융회사,에이치디씨신라면세점(주),동일인측,동일인,동일인,-,-,,-,-,-,-
187,비금융회사,에이치디씨신라면세점(주),동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
188,비금융회사,에이치디씨신라면세점(주),동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
189,비금융회사,에이치디씨신라면세점(주),동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
190,비금융회사,에이치디씨신라면세점(주),동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
191,비금융회사,에이치디씨신라면세점(주),동일인측,친족,친족 합계,/,-,-,-,-,-,-
192,비금융회사,에이치디씨신라면세점(주),동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
193,비금융회사,에이치디씨신라면세점(주),동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
194,비금융회사,에이치디씨신라면세점(주),동일인측,자기주식,자기주식,-,-,-,-,-,-,-
195,비금융회사,에이치디씨신라면세점(주),동일인측,계열회사(국내+해외),계열회사(국내+해외),에이치디씨(주),8000000,50.00%,-,-,8000000,50.00%
196,비금융회사,에이치디씨신라면세점(주),동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,-,-
197,비금융회사,에이치디씨신라면세점(주),동일인측,동일인측 합계,동일인측 합계,/,8000000,50.00%,-,-,8000000,50.00%
198,비금융회사,에이치디씨신라면세점(주),기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,(주)호텔신라,8000000,50.00%,-,-,8000000,50.00%
199,비금융회사,에이치디씨신라면세점(주),기타주주,기타,기타,/,-,-,-,-,-,-
200,비금융회사,에이치디씨신라면세점(주),총 계,총 계,총 계,/,16000000,100%,-,-,16000000,100%
201,비금융회사,에이치디씨아이서비스(주),동일인측,동일인,동일인,-,-,,-,-,-,-
202,비금융회사,에이치디씨아이서비스(주),동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
203,비금융회사,에이치디씨아이서비스(주),동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
204,비금융회사,에이치디씨아이서비스(주),동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
205,비금융회사,에이치디씨아이서비스(주),동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
206,비금융회사,에이치디씨아이서비스(주),동일인측,친족,친족 합계,/,-,-,-,-,-,-
207,비금융회사,에이치디씨아이서비스(주),동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
208,비금융회사,에이치디씨아이서비스(주),동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
209,비금융회사,에이치디씨아이서비스(주),동일인측,자기주식,자기주식,-,-,-,-,-,-,-
210,비금융회사,에이치디씨아이서비스(주),동일인측,계열회사(국내+해외),계열회사(국내+해외),에이치디씨(주),7997000,56.55%,-,-,7997000,56.55%
211,비금융회사,에이치디씨아이서비스(주),동일인측,계열회사(국내+해외),계열회사(국내+해외),엠엔큐투자파트너스(유),1500000,10.61%,-,-,1500000,10.61%
212,비금융회사,에이치디씨아이서비스(주),동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,-,-
213,비금융회사,에이치디씨아이서비스(주),동일인측,동일인측 합계,동일인측 합계,/,9497000,67.16%,-,-,9497000,67.16%
214,비금융회사,에이치디씨아이서비스(주),기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,-,-
215,비금융회사,에이치디씨아이서비스(주),기타주주,기타,기타,/,4643000,32.84%,-,-,4643000,32.84%
216,비금융회사,에이치디씨아이서비스(주),총 계,총 계,총 계,/,14140000,100%,-,-,14140000,100%
217,비금융회사,에이치디씨아이앤콘스(주),동일인측,동일인,동일인,-,-,,-,-,-,-
218,비금융회사,에이치디씨아이앤콘스(주),동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
219,비금융회사,에이치디씨아이앤콘스(주),동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
220,비금융회사,에이치디씨아이앤콘스(주),동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
221,비금융회사,에이치디씨아이앤콘스(주),동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
222,비금융회사,에이치디씨아이앤콘스(주),동일인측,친족,친족 합계,/,-,-,-,-,-,-
223,비금융회사,에이치디씨아이앤콘스(주),동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
224,비금융회사,에이치디씨아이앤콘스(주),동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
225,비금융회사,에이치디씨아이앤콘스(주),동일인측,자기주식,자기주식,-,-,-,-,-,-,-
226,비금융회사,에이치디씨아이앤콘스(주),동일인측,계열회사(국내+해외),계열회사(국내+해외),에이치디씨(주),1192647,95.21%,-,-,1192647,95.21%
227,비금융회사,에이치디씨아이앤콘스(주),동일인측,계열회사(국내+해외),계열회사(국내+해외),엠엔큐투자파트너스(유),60000,4.79%,-,-,60000,4.79%
228,비금융회사,에이치디씨아이앤콘스(주),동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,-,-
229,비금융회사,에이치디씨아이앤콘스(주),동일인측,동일인측 합계,동일인측 합계,/,1252647,100.00%,-,-,1252647,100.00%
230,비금융회사,에이치디씨아이앤콘스(주),기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,-,-
231,비금융회사,에이치디씨아이앤콘스(주),기타주주,기타,기타,/,-,-,-,-,-,-
